timestamp,frequencyBand,amplitudeDb,depthMeters,rangeMeters,soundSpeed,noiseLevelDb
2026-04-30T00:00:00.958Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.959Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.960Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.961Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.962Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.963Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.964Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.965Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.966Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.967Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.968Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.969Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.970Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.971Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.972Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.973Z,62500.000,-0.017689,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.974Z,62500.000,-3.661100,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.975Z,62500.000,-1.714667,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.976Z,62500.000,-4.494767,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.977Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.978Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.979Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
2026-04-30T00:00:00.980Z,62500.000,-180.000000,37.0,0.000,1485.0,-90.000
